target_id	length	eff_length	est_counts	tpm
CDP22090	1290	1111	884.748	60.0035
CDP20216	763	584	50.0208	6.45371
CDP20215	2478	2299	69.0371	2.26264
CDP22091	654	475	0	0
CDP22092	1677	1498	30.8686	1.55266
CDP22093	1104	925	802	65.3287
CDP20217	1276	1097	2018.72	138.656
CDP20218	777	598	7	0.881999
CDP20219	651	472	40	6.38542
CDP20221	750	571	0	0
CDP20223	330	151	31.2347	15.5859
CDP20224	400	221	43	14.6605
CDP20222	341	162	257.765	119.889
CDP20220	813	634	1.36969	0.162781
CDP20225	447	268	0	0
CDP20228	1443	1264	0	0
CDP20226	975	796	8	0.757266
CDP20227	1853	1674	0	0
CDP20229	171	13.7365	0	0
CDP22094	521	342	8.05	1.77354
CDP22095	468	289	0	0
CDP20230	639	460	15.0392	2.46342
CDP20231	378	199	7.63379	2.8904
CDP22096	645	466	0	0
CDP22097	1680	1501	8950	449.276
CDP20232	426	247	0	0
CDP20234	4224	4045	0	0
CDP20233	2106	1927	0	0
CDP20235	2943	2764	74.0368	2.01828
CDP20237	1209	1030	0	0
CDP20236	291	112	0	0
CDP22098	651	472	0	0
CDP22099	405	226	0	0
CDP20241	982	803	211	19.7988
CDP20238	1203	1024	0	0
CDP20240	1248	1069	727	51.2422
CDP20239	1428	1249	37	2.23208
CDP20242	2340	2161	6	0.209203
CDP20243	922	743	1285.58	130.371
CDP22100	2118	1939	314.73	12.2301
CDP20245	1166	987	0	0
CDP20246	357	178	0	0
CDP20244	492	313	1	0.240728
CDP20247	1077	898	8.71823	0.731515
CDP20248	1086	907	160.722	13.3518
CDP20249	1266	1087	0	0
CDP20250	477	298	0	0
CDP22101	264	85.0011	0	0
CDP22102	879	700	8588.63	924.479
CDP22103	1122	943	9	0.719121
CDP20251	980	801	144	13.5457
CDP20252	2573	2394	1199	37.7369
CDP22104	1069	890	1.01517	0.0859447
CDP20253	1455	1276	65	3.83826
CDP22105	1587	1408	30.3214	1.62262
CDP20254	4634	4455	533.548	9.02396
CDP22106	918	739	2.00238	0.204162
CDP20255	755	576	0	0
CDP22107	546	367	92.4219	18.9749
CDP22108	609	430	0	0
CDP22109	465	286	0	0
CDP20256	434	255	104	30.7301
CDP22110	862	683	199.767	22.0381
CDP22111	1193	1014	326	24.2243
CDP20258	1545	1366	0	0
CDP20257	1126	947	143	11.3778
CDP22112	564	385	0	0
CDP22113	1845	1666	12.6055	0.570108
CDP20259	1674	1495	249	12.5496
CDP20260	399	220	0	0
CDP22114	580	401	8	1.5032
CDP20261	387	208	0	0
CDP20262	3099	2920	56.4697	1.45715
CDP20263	870	691	0	0
CDP22115	546	367	0	0
CDP15750	1341	1162	228	14.7843
CDP15747	3013	2834	2094	55.6735
CDP15748	849	670	1	0.11246
CDP15749	3591	3412	1426	31.4907
CDP15751	1405	1226	164	10.0792
CDP15746	1017	838	0	0
CDP15752	1425	1246	238	14.3923
CDP22116	492	313	311	74.8665
CDP22117	501	322	1	0.234
CDP22118	804	625	7	0.843897
CDP22119	480	301	0	0
CDP20266	976	797	93.2302	8.81393
CDP20267	336	157	3.18351	1.52784
CDP20264	896	717	0	0
CDP20265	2799	2620	46.5029	1.33737
CDP20269	363	184	0	0
CDP20268	1713	1534	4.67037	0.229402
CDP22120	255	76.0064	0	0
CDP20272	780	601	11	1.37908
CDP20273	2965	2786	12	0.324542
CDP20274	738	559	9.23527	1.24483
CDP22121	1635	1456	0	0
CDP22122	804	625	3	0.36167
CDP20275	1014	835	0	0
CDP20279	1680	1501	83	4.16647
CDP20277	2073	1894	66	2.62564
CDP20278	2842	2663	2343	66.2937
CDP20276	4025	3846	215	4.21212
CDP20280	737	558	288	38.8893
CDP20283	2773	2594	588	17.0796
CDP20281	1840	1661	167	7.57562
CDP20282	1365	1186	35	2.22359
CDP22123	1626	1447	62.3958	3.24906
CDP22124	912	733	0	0
CDP20286	1237	1058	383.742	27.3291
CDP20285	228	49.4247	34	51.833
CDP20284	1157	978	691.438	53.2704
CDP20288	765	586	5.35761	0.688882
CDP20287	1468	1289	75.7756	4.42943
CDP22125	145	8.64817	17	148.114
CDP22126	361	182	644.321	266.749
CDP22127	1767	1588	339.091	16.0893
CDP20289	264	85.0011	0	0
CDP20293	126	6.66748	0	0
CDP20290	135	7.48819	0	0
CDP20292	618	439	0	0
CDP20291	942	763	0	0
CDP22128	330	151	0	0
CDP20294	249	70.019	0	0
CDP20295	3228	3049	1227	30.322
CDP22129	648	469	287.096	46.1239
CDP22130	486	307	12.0254	2.95144
CDP20296	474	295	0	0
CDP20297	393	214	0	0
CDP20300	469	290	0	0
