target_id	length	eff_length	est_counts	tpm
CDP22090	1290	1111	1033.78	72.5295
CDP20216	763	584	0	0
CDP20215	2478	2299	103.212	3.49938
CDP22091	654	475	1.07493	0.176396
CDP22092	1677	1498	59.3183	3.08659
CDP22093	1104	925	899	75.7564
CDP20217	1276	1097	2020	143.531
CDP20218	777	598	3	0.39104
CDP20219	651	472	28.3227	4.67729
CDP20221	750	571	1	0.13651
CDP20223	330	151	24.4404	12.6163
CDP20224	400	221	27	9.52298
CDP20222	341	162	199.869	96.1683
CDP20220	813	634	0	0
CDP20225	447	268	4.05384	1.17905
CDP20228	1443	1264	2	0.123334
CDP20226	975	796	1	0.0979239
CDP20227	1853	1674	0	0
CDP20229	171	13.7365	0	0
CDP22094	521	342	32.45	7.39589
CDP22095	468	289	0	0
CDP20230	639	460	17.091	2.89608
CDP20231	378	199	3.55737	1.3934
CDP22096	645	466	0	0
CDP22097	1680	1501	7793	404.693
CDP20232	426	247	0	0
CDP20234	4224	4045	0	0
CDP20233	2106	1927	0	0
CDP20235	2943	2764	96.6126	2.72456
CDP20237	1209	1030	0	0
CDP20236	291	112	0	0
CDP22098	651	472	0	0
CDP22099	405	226	0	0
CDP20241	982	803	148	14.3664
CDP20238	1203	1024	0	0
CDP20240	1248	1069	707	51.5517
CDP20239	1428	1249	79	4.93022
CDP20242	2340	2161	6	0.21642
CDP20243	922	743	1313.51	137.799
CDP22100	2118	1939	324.411	13.0413
CDP20245	1166	987	0	0
CDP20246	357	178	0	0
CDP20244	492	313	1	0.249033
CDP20247	1077	898	10.0127	0.869112
CDP20248	1086	907	320.652	27.5568
CDP20249	1266	1087	0	0
CDP20250	477	298	0	0
CDP22101	264	85.0011	0	0
CDP22102	879	700	8421.71	937.786
CDP22103	1122	943	6	0.495954
CDP20251	980	801	132	12.8453
CDP20252	2573	2394	1025	33.3735
CDP22104	1069	890	4.1975	0.367623
CDP20253	1455	1276	50	3.05436
CDP22105	1587	1408	27.3257	1.51276
CDP20254	4634	4455	479.827	8.39534
CDP22106	918	739	0	0
CDP20255	755	576	0	0
CDP22107	546	367	75.9839	16.1383
CDP22108	609	430	0.0522183	0.00946576
CDP22109	465	286	14.0168	3.82019
CDP20256	434	255	73	22.3144
CDP22110	862	683	153.246	17.4892
CDP22111	1193	1014	283.735	21.811
CDP20258	1545	1366	0	0
CDP20257	1126	947	184	15.145
CDP22112	564	385	1	0.202461
CDP22113	1845	1666	8.69782	0.406946
CDP20259	1674	1495	232	12.0962
CDP20260	399	220	0	0
CDP22114	580	401	1	0.194383
CDP20261	387	208	0	0
CDP20262	3099	2920	97.645	2.60657
CDP20263	870	691	3	0.338411
CDP22115	546	367	0	0
CDP15750	1341	1162	293	19.6545
CDP15747	3013	2834	1903.88	52.3651
CDP15748	849	670	2	0.232679
CDP15749	3591	3412	1585	36.2094
CDP15751	1405	1226	98	6.2307
CDP15746	1017	838	0	0
CDP15752	1425	1246	222	13.8879
CDP22116	492	313	233	58.0247
CDP22117	501	322	0	0
CDP22118	804	625	8	0.997727
