target_id	length	eff_length	est_counts	tpm
CDP22090	1290	1111	897.445	59.8086
CDP20216	763	584	23.0833	2.92654
CDP20215	2478	2299	8.55205	0.275423
CDP22091	654	475	2.13807	0.333271
CDP22092	1677	1498	38.3913	1.89754
CDP22093	1104	925	881	70.5186
CDP20217	1276	1097	2201.81	148.608
CDP20218	777	598	1	0.123814
CDP20219	651	472	35.1651	5.51618
CDP20221	750	571	15.0083	1.9461
CDP20223	330	151	28.2059	13.8303
CDP20224	400	221	16	5.3604
CDP20222	341	162	461.389	210.873
CDP20220	813	634	3.16203	0.369272
CDP20225	447	268	0	0
CDP20228	1443	1264	0	0
CDP20226	975	796	1	0.0930157
CDP20227	1853	1674	1	0.0442297
CDP20229	171	13.7365	0	0
CDP22094	521	342	18.8	4.07006
CDP22095	468	289	0	0
CDP20230	639	460	21	3.38011
CDP20231	378	199	10.6741	3.97143
CDP22096	645	466	0	0
CDP22097	1680	1501	10503	518.086
CDP20232	426	247	0	0
CDP20234	4224	4045	3.03337	0.0555234
CDP20233	2106	1927	0	0
CDP20235	2943	2764	75.6527	2.02654
CDP20237	1209	1030	0	0
CDP20236	291	112	0	0
CDP22098	651	472	0	0
CDP22099	405	226	0	0
CDP20241	982	803	212	19.5474
CDP20238	1203	1024	0	0
CDP20240	1248	1069	841	58.2489
CDP20239	1428	1249	91	5.39446
CDP20242	2340	2161	4	0.137049
CDP20243	922	743	405.14	40.3726
CDP22100	2118	1939	304.522	11.6281
CDP20245	1166	987	0	0
CDP20246	357	178	0	0
CDP20244	492	313	5	1.18276
CDP20247	1077	898	21.8874	1.80463
CDP20248	1086	907	479.294	39.1259
CDP20249	1266	1087	0	0
CDP20250	477	298	0	0
CDP22101	264	85.0011	2	1.74211
CDP22102	879	700	7073.65	748.195
CDP22103	1122	943	7	0.549611
CDP20251	980	801	139	12.8485
CDP20252	2573	2394	1343	41.5357
CDP22104	1069	890	1.02463	0.0852405
CDP20253	1455	1276	100	5.80255
CDP22105	1587	1408	30.1355	1.58469
CDP20254	4634	4455	599.844	9.96919
CDP22106	918	739	18.6067	1.8642
CDP20255	755	576	1.06112	0.1364
CDP22107	546	367	85.8688	17.3236
CDP22108	609	430	0.246397	0.0424264
CDP22109	465	286	11.4747	2.9706
CDP20256	434	255	97	28.1644
CDP22110	862	683	191.449	20.754
CDP22111	1193	1014	258.438	18.8707
CDP20258	1545	1366	0	0
CDP20257	1126	947	249	19.4679
CDP22112	564	385	1	0.192313
CDP22113	1845	1666	16.3225	0.725408
CDP20259	1674	1495	366	18.1263
CDP20260	399	220	0	0
CDP22114	580	401	5	0.923198
CDP20261	387	208	0	0
CDP20262	3099	2920	35.0357	0.888377
CDP20263	870	691	0	0
CDP22115	546	367	0	0
CDP15750	1341	1162	251	15.9933
CDP15747	3013	2834	1104.69	28.8609
CDP15748	849	670	9	0.994574
CDP15749	3591	3412	1885	40.9046
CDP15751	1405	1226	111	6.7035
CDP15746	1017	838	0	0
CDP15752	1425	1246	250	14.8556
CDP22116	492	313	296	70.0191
CDP22117	501	322	0	0
CDP22118	804	625	6	0.710789
CDP22119	480	301	0	0
CDP20266	976	797	108.908	10.1175
CDP20267	336	157	13.72	6.4703
CDP20264	896	717	9	0.929379
CDP20265	2799	2620	60.4852	1.7093
CDP20269	363	184	0	0
CDP20268	1713	1534	2.34473	0.113172
CDP22120	255	76.0064	1	0.974135
CDP20272	780	601	19	2.34072
CDP20273	2965	2786	2	0.0531518
CDP20274	738	559	24.5664	3.25386
CDP22121	1635	1456	0	0
CDP22122	804	625	1	0.118465
CDP20275	1014	835	0	0
CDP20279	1680	1501	100	4.93275
CDP20277	2073	1894	83	3.24465
CDP20278	2842	2663	2320	64.5039
CDP20276	4025	3846	228	4.3893
CDP20280	737	558	267	35.428
CDP20283	2773	2594	864	24.6611
CDP20281	1840	1661	56	2.49625
CDP20282	1365	1186	41	2.55958
CDP22123	1626	1447	20.2951	1.03846
CDP22124	912	733	0	0
CDP20286	1237	1058	512.731	35.8817
CDP20285	228	49.4247	78	116.848
CDP20284	1157	978	796.384	60.2911
CDP20288	765	586	3.31343	0.418649
CDP20287	1468	1289	62.449	3.58709
CDP22125	145	8.64817	10	85.6141
CDP22126	361	182	591.069	240.456
CDP22127	1767	1588	216.015	10.0717
CDP20289	264	85.0011	0	0
CDP20293	126	6.66748	0	0
CDP20290	135	7.48819	0	0
CDP20292	618	439	0	0
CDP20291	942	763	0	0
CDP22128	330	151	0	0
CDP20294	249	70.019	0	0
CDP20295	3228	3049	1326	32.2
CDP22129	648	469	283.724	44.7913
CDP22130	486	307	7	1.68822
CDP20296	474	295	0	0
CDP20297	393	214	0	0
CDP20300	469	290	0	0
CDP20298	3664	3485	1871	39.7503
CDP20301	240	61.0822	4	4.84858
CDP20299	2430	2251	4597	151.206
CDP20302	1538	1359	397	21.6292
CDP22131	312	133	0	0
CDP22132	189	20.4424	0	0
CDP22133	1011	832	0	0
CDP22134	552	373	9	1.7865
CDP15789	2365	2186	586	19.848
CDP15785	2077	1898	408	15.916
CDP15788	483	304	1	0.243554
CDP15787	576	397	6	1.119
CDP15790	2622	2443	1614	48.9158
CDP15791	2120	1941	1291	49.2459
CDP15786	1554	1375	166	8.93871
CDP22135	870	691	0	0
CDP20313	744	565	0	0
CDP20312	1638	1459	26	1.31943
CDP20310	399	220	0	0
CDP20315	2371	2192	0	0
CDP20311	1923	1744	1	0.0424544
CDP20314	372	193	0	0
CDP20317	981	802	6	0.553919
CDP20319	2444	2265	182	5.94939
CDP20320	678	499	19	2.81918
CDP20316	2013	1834	4	0.161484
CDP20318	2953	2774	193.483	5.16423
CDP22136	216	38.5618	0	0
CDP22137	135	7.48819	2	19.7753
CDP22138	183	17.7996	0	0
CDP20322	3441	3262	4.85559	0.110212
CDP20321	1414	1235	5.61181	0.336438
CDP22139	925	746	31	3.07675
CDP20323	3024	2845	5	0.130124
CDP20324	2103	1924	959	36.9048
CDP20325	3436	3257	1880	42.7375
CDP20326	3863	3684	1721.7	34.6025
CDP20327	1593	1414	0	0
CDP20328	1116	937	280	22.1252
CDP22141	468	289	0	0
CDP20329	1047	868	6	0.511801
CDP20331	528	349	0	0
CDP20330	524	345	0	0
CDP20332	668	489	86.6256	13.1162
CDP20336	1455	1276	2060	119.532
CDP20333	1477	1298	4970	283.499
CDP20335	213	36.0583	0	0
CDP20334	1715	1536	462	22.27
CDP20339	3669	3490	507.703	10.7709
CDP20337	944	765	1838.6	177.949
CDP20338	1348	1169	600.351	38.0242
CDP22142	891	712	567.918	59.0575
CDP22143	1635	1456	130.127	6.61724
CDP20341	984	805	0	0
CDP20342	1228	1049	71.5241	5.04831
CDP20340	2827	2648	1362	38.0828
