target_id	length	eff_length	est_counts	tpm
CDP22090	1290	1111	895.911	62.7529
CDP20216	763	584	13.2882	1.77066
CDP20215	2478	2299	1160.27	39.2739
CDP22091	654	475	0	0
CDP22092	1677	1498	54.5544	2.83401
CDP22093	1104	925	2	0.168256
CDP20217	1276	1097	1182.52	83.8848
CDP20218	777	598	30.3788	3.95324
CDP20219	651	472	6	0.989218
CDP20221	750	571	5	0.681423
CDP20223	330	151	15.992	8.24154
CDP20224	400	221	26	9.15512
CDP20222	341	162	8401.9	4035.95
CDP20220	813	634	1.08541	0.133226
CDP20225	447	268	2.16755	0.629387
CDP20228	1443	1264	0	0
CDP20226	975	796	4	0.391048
CDP20227	1853	1674	0	0
CDP20229	171	13.7365	0	0
CDP22094	521	342	0	0
CDP22095	468	289	0	0
CDP20230	639	460	20.0645	3.39432
CDP20231	378	199	2.28262	0.892614
CDP22096	645	466	0	0
CDP22097	1680	1501	5955	308.734
CDP20232	426	247	0	0
CDP20234	4224	4045	15.7457	0.30292
CDP20233	2106	1927	7	0.282683
CDP20235	2943	2764	144.533	4.06922
CDP20237	1209	1030	0	0
CDP20236	291	112	0	0
CDP22098	651	472	0	0
CDP22099	405	226	0	0
CDP20241	982	803	183	17.7345
CDP20238	1203	1024	0	0
CDP20240	1248	1069	501	36.4706
CDP20239	1428	1249	49	3.05293
CDP20242	2340	2161	1	0.0360104
CDP20243	922	743	646.24	67.6844
CDP22100	2118	1939	391.317	15.7049
CDP20245	1166	987	0	0
CDP20246	357	178	0	0
CDP20244	492	313	1	0.248621
CDP20247	1077	898	12.2744	1.06367
CDP20248	1086	907	13084.7	1122.64
CDP20249	1266	1087	0	0
CDP20250	477	298	0	0
CDP22101	264	85.0011	0	0
CDP22102	879	700	6706.24	745.528
CDP22103	1122	943	0	0
CDP20251	980	801	18	1.74873
CDP20252	2573	2394	1150	37.3815
CDP22104	1069	890	63.7579	5.57477
CDP20253	1455	1276	62	3.78115
CDP22105	1587	1408	44.3258	2.44984
CDP20254	4634	4455	755.745	13.2011
CDP22106	918	739	4.00297	0.421523
CDP20255	755	576	0	0
CDP22107	546	367	102.721	21.781
CDP22108	609	430	0	0
CDP22109	465	286	1.18112	0.321373
CDP20256	434	255	69	21.0568
CDP22110	862	683	5956.21	678.629
CDP22111	1193	1014	99.5152	7.63721
CDP20258	1545	1366	0	0
CDP20257	1126	947	547	44.949
CDP22112	564	385	0	0
CDP22113	1845	1666	4.28684	0.200237
CDP20259	1674	1495	18	0.936945
CDP20260	399	220	0	0
CDP22114	580	401	8.65718	1.68002
CDP20261	387	208	0	0
CDP20262	3099	2920	120.613	3.21435
CDP20263	870	691	5	0.563086
CDP22115	546	367	3.01929	0.640208
CDP15750	1341	1162	378	25.3145
CDP15747	3013	2834	641.07	17.6031
CDP15748	849	670	4	0.464588
CDP15749	3591	3412	1643	37.4724
CDP15751	1405	1226	103	6.53777
CDP15746	1017	838	0	0
CDP15752	1425	1246	160	9.99275
CDP22116	492	313	299	74.3378
CDP22117	501	322	0	0
CDP22118	804	625	2	0.249019
CDP22119	480	301	0	0
CDP20266	976	797	115.043	11.2327
CDP20267	336	157	13.1337	6.50986
CDP20264	896	717	0	0
CDP20265	2799	2620	6.61103	0.196359
CDP20269	363	184	0	0
CDP20268	1713	1534	23.0758	1.17062
CDP22120	255	76.0064	0	0
CDP20272	780	601	23	2.97808
CDP20273	2965	2786	35	0.97762
CDP20274	738	559	17.083	2.37812
CDP22121	1635	1456	0	0
CDP22122	804	625	2	0.249019
CDP20275	1014	835	0	0
CDP20279	1680	1501	132	6.84347
CDP20277	2073	1894	361	14.8324
