target_id	length	eff_length	est_counts	tpm
CDP22090	1290	1111	442.111	28.0669
CDP20216	763	584	0	0
CDP20215	2478	2299	675.905	20.7359
CDP22091	654	475	0	0
CDP22092	1677	1498	76.4435	3.59919
CDP22093	1104	925	4	0.304997
CDP20217	1276	1097	1072.73	68.9701
CDP20218	777	598	0	0
CDP20219	651	472	3	0.448287
CDP20221	750	571	2	0.247042
CDP20223	330	151	25.1191	11.7329
CDP20224	400	221	18	5.74456
CDP20222	341	162	4395.07	1913.49
CDP20220	813	634	1.16281	0.129359
CDP20225	447	268	1.22866	0.32335
CDP20228	1443	1264	4.12139	0.229971
CDP20226	975	796	3	0.265818
CDP20227	1853	1674	18.8786	0.79541
CDP20229	171	13.7365	0	0
CDP22094	521	342	25.7	5.3001
CDP22095	468	289	0	0
CDP20230	639	460	18	2.75989
CDP20231	378	199	6.79657	2.40887
CDP22096	645	466	0	0
CDP22097	1680	1501	4763	223.808
CDP20232	426	247	0	0
CDP20234	4224	4045	3.42771	0.0597671
CDP20233	2106	1927	0	0
CDP20235	2943	2764	93.4034	2.38342
CDP20237	1209	1030	1.41699	0.0970298
CDP20236	291	112	0	0
CDP22098	651	472	0	0
CDP22099	405	226	0	0
CDP20241	982	803	213	18.7086
CDP20238	1203	1024	0	0
CDP20240	1248	1069	456	30.086
CDP20239	1428	1249	104	5.87283
CDP20242	2340	2161	3	0.0979136
CDP20243	922	743	729.964	69.293
CDP22100	2118	1939	381.697	13.8841
CDP20245	1166	987	0	0
CDP20246	357	178	0	0
CDP20244	492	313	2	0.450674
CDP20247	1077	898	42.9035	3.36971
CDP20248	1086	907	1942.31	151.039
CDP20249	1266	1087	2	0.129771
CDP20250	477	298	0	0
CDP22101	264	85.0011	0	0
CDP22102	879	700	4145.42	417.684
CDP22103	1122	943	0	0
CDP20251	980	801	0	0
CDP20252	2573	2394	1264	37.2391
CDP22104	1069	890	117.596	9.31921
CDP20253	1455	1276	74	4.09032
CDP22105	1587	1408	37.6852	1.88775
CDP20254	4634	4455	1152.62	18.248
CDP22106	918	739	3.03062	0.289243
CDP20255	755	576	0	0
CDP22107	546	367	124.152	23.8597
CDP22108	609	430	0	0
CDP22109	465	286	0	0
CDP20256	434	255	132	36.5099
CDP22110	862	683	9187.61	948.764
CDP22111	1193	1014	36.4898	2.53811
CDP20258	1545	1366	0	0
CDP20257	1126	947	1094	81.4787
CDP22112	564	385	0	0
CDP22113	1845	1666	5.90471	0.249977
CDP20259	1674	1495	8	0.37742
CDP20260	399	220	0	0
CDP22114	580	401	3	0.527659
CDP20261	387	208	0	0
CDP20262	3099	2920	48.3541	1.16796
CDP20263	870	691	0	0
CDP22115	546	367	0	0
CDP15750	1341	1162	410	24.886
CDP15747	3013	2834	427.664	10.6434
CDP15748	849	670	0	0
CDP15749	3591	3412	1542	31.8751
CDP15751	1405	1226	83	4.7749
CDP15746	1017	838	0	0
CDP15752	1425	1246	154	8.71725
CDP22116	492	313	251	56.5596
CDP22117	501	322	0	0
CDP22118	804	625	0	0
CDP22119	480	301	0	0
CDP20266	976	797	110.777	9.80317
CDP20267	336	157	2.42894	1.09117
CDP20264	896	717	0.733755	0.0721786
CDP20265	2799	2620	42.7809	1.15166
CDP20269	363	184	0	0
CDP20268	1713	1534	25.4709	1.17111
CDP22120	255	76.0064	1	0.927954
CDP20272	780	601	1	0.117355
CDP20273	2965	2786	2	0.0506321
CDP20274	738	559	4	0.50469
CDP22121	1635	1456	0	0
CDP22122	804	625	10	1.12849
CDP20275	1014	835	0	0
CDP20279	1680	1501	114	5.35674
CDP20277	2073	1894	113	4.20799
CDP20278	2842	2663	1542	40.8404
CDP20276	4025	3846	22	0.40345
CDP20280	737	558	243	30.7149
CDP20283	2773	2594	669	18.19
CDP20281	1840	1661	131	5.56261
CDP20282	1365	1186	0	0
CDP22123	1626	1447	100.308	4.88925
CDP22124	912	733	1	0.0962216
CDP20286	1237	1058	624.012	41.5991
CDP20285	228	49.4247	82	117.016
CDP20284	1157	978	920.733	66.4005
CDP20288	765	586	0	0
CDP20287	1468	1289	60.2309	3.29566
CDP22125	145	8.64817	11	89.7109
CDP22126	361	182	486.253	188.437
CDP22127	1767	1588	590.73	26.2371
CDP20289	264	85.0011	0	0
CDP20293	126	6.66748	0	0
CDP20290	135	7.48819	0	0
CDP20292	618	439	0	0
CDP20291	942	763	1	0.0924383
CDP22128	330	151	1	0.467089
CDP20294	249	70.019	0	0
CDP20295	3228	3049	853	19.7319
CDP22129	648	469	246.314	37.0418
CDP22130	486	307	23.0242	5.28959
CDP20296	474	295	0	0
CDP20297	393	214	0	0
CDP20300	469	290	0	0
CDP20298	3664	3485	1388	28.0908
CDP20301	240	61.0822	13	15.0108
CDP20299	2430	2251	4415.99	138.366
CDP20302	1538	1359	483	25.0671
CDP22131	312	133	0	0
CDP22132	189	20.4424	0	0
CDP22133	1011	832	2.07817	0.176171
CDP22134	552	373	3	0.567269
CDP15789	2365	2186	233	7.51766
CDP15785	2077	1898	1585	58.8992
CDP15788	483	304	0	0
CDP15787	576	397	1	0.177659
CDP15790	2622	2443	1500	43.3056
CDP15791	2120	1941	1481	53.8154
CDP15786	1554	1375	465	23.8521
CDP22135	870	691	204.23	20.8458
CDP20313	744	565	9.36801	1.16943
CDP20312	1638	1459	1.63199	0.0788931
CDP20310	399	220	0	0
CDP20315	2371	2192	18.4533	0.593758
CDP20311	1923	1744	12.5853	0.50897
CDP20314	372	193	0	0
CDP20317	981	802	14	1.2312
CDP20319	2444	2265	131	4.07924
CDP20320	678	499	5	0.706718
CDP20316	2013	1834	4	0.153829
CDP20318	2953	2774	615.229	15.6425
CDP22136	216	38.5618	0	0
CDP22137	135	7.48819	0	0
CDP22138	183	17.7996	0	0
CDP20322	3441	3262	41	0.886496
CDP20321	1414	1235	1	0.0571097
CDP22139	925	746	62	5.86178
CDP20323	3024	2845	150	3.71865
CDP20324	2103	1924	747	27.3837
CDP20325	3436	3257	1385	29.9922
CDP20326	3863	3684	613.737	11.75
CDP20327	1593	1414	0	0
CDP20328	1116	937	119	8.95744
CDP22141	468	289	0	0
CDP20329	1047	868	2	0.162513
CDP20331	528	349	0	0
CDP20330	524	345	3.09672	0.63308
CDP20332	668	489	47.1687	6.80334
CDP20336	1455	1276	300	16.5824
CDP20333	1477	1298	2573	139.811
CDP20335	213	36.0583	0	0
CDP20334	1715	1536	306	14.051
CDP20339	3669	3490	769.63	15.5537
CDP20337	944	765	4302.55	396.681
CDP20338	1348	1169	1373.77	82.8848
CDP22142	891	712	318	31.501
CDP22143	1635	1456	67.7553	3.28215
CDP20341	984	805	0	0
CDP20342	1228	1049	532.927	35.8318
CDP20340	2827	2648	1614	42.9895
CDP22144	1683	1504	28.2072	1.32278
CDP22145	682	503	2003.68	280.956
CDP22146	1293	1114	84.8653	5.37306
CDP20345	2907	2728	376.491	9.73391
CDP20344	1296	1117	1903.97	120.222
CDP22147	1044	865	12.3958	1.01073
CDP22148	375	196	13	4.67804
CDP20346	465	286	0	0
CDP20347	135	7.48819	0	0
CDP20349	569	390	119	21.5208
CDP20348	846	667	304.091	32.1554
CDP22149	659	480	9403.31	1381.71
CDP22150	474	295	14.4367	3.45161
CDP20350	849	670	26	2.737
CDP22151	1050	871	76.6005	6.20283
CDP22152	1574	1395	474.398	23.9853
CDP20353	2235	2056	1	0.0343047
CDP22153	831	652	0	0
CDP20354	692	513	247.063	33.9677
CDP22154	867	688	0	0
CDP22155	327	148	0	0
CDP20355	249	70.019	2	2.01461
CDP22156	1632	1453	185.629	9.01065
CDP20358	1891	1712	1206.22	49.6934
CDP20357	733	554	4604.96	586.263
CDP20356	940	761	7711.97	714.755
CDP22157	330	151	17.5981	8.21986
CDP22158	1041	862	410	33.547
CDP22159	441	262	80.8216	21.7572
CDP22160	546	367	24.4581	4.70038
CDP20360	3873	3694	1897	36.2199
CDP20359	1575	1396	132	6.66907
CDP20361	774	595	45.1492	5.35192
CDP20362	1167	988	0	0
CDP22161	216	38.5618	0	0
CDP20363	3048	2869	0	0
CDP20364	208	32.1317	0	0
CDP22162	537	358	338	66.5902
CDP22163	543	364	0	0
CDP22164	630	451	609.96	95.3896
CDP22165	228	49.4247	0.4356	0.621614
CDP20365	168	12.9312	0	0
CDP22166	510	331	0	0
CDP22167	486	307	9.26284	2.12805
CDP22168	156	10.3458	5	34.0866
CDP20366	721	542	0	0
CDP20367	1251	1072	19.8357	1.30506
CDP20368	1940	1761	2394	95.883
CDP22169	1447	1268	26	1.44621
CDP20369	590	411	0	0
CDP22170	1589	1410	214	10.7046
CDP22171	420	241	7.90042	2.31212
CDP22172	897	718	85	8.34971
CDP20370	522	343	1.15334	0.23716
CDP20371	993	814	0	0
CDP20376	1891	1712	43	1.7715
CDP20374	2350	2171	343	11.1432
CDP20373	1631	1452	0	0
CDP20375	1431	1252	50	2.81671
CDP20377	1969	1790	626	24.666
CDP20378	2683	2504	5517	155.398
CDP20372	1331	1152	462	28.2856
CDP22173	993	814	1.00242	0.0868563
CDP22174	426	247	0	0
CDP22175	723	544	0	0
CDP22176	570	391	0	0
CDP20386	1597	1418	423.4	21.0596
CDP20387	1162	983	32	2.29601
CDP20390	1491	1312	751	40.3722
CDP20391	990	811	0	0
CDP20388	1809	1630	724	31.3276
CDP20389	2855	2676	1573	41.459
CDP22177	648	469	92.5053	13.9114
CDP20395	521	342	10	2.06229
CDP20393	1371	1192	0	0
CDP20397	459	280	19	4.78599
CDP20394	1284	1105	0	0
CDP20396	882	703	17	1.70557
CDP20392	1365	1186	0	0
CDP22178	630	451	33.6092	5.25603
CDP20398	153	9.8295	0	0
CDP22179	300	121	1	0.582896
CDP22180	507	328	31	6.66599
CDP20399	624	445	3	0.475486
CDP20400	1926	1747	0	0
CDP20401	1144	965	24.0887	1.76061
CDP20402	919	740	477.5	45.5112
CDP20403	1509	1330	0	0
CDP20404	2159	1980	355	12.6456
CDP22181	539	360	0	0
CDP22182	1401	1222	70.8293	4.08807
CDP22183	960	781	60.863	5.4964
CDP22184	1289	1110	7	0.444787
CDP22185	1746	1567	25.4802	1.14686
CDP20405	723	544	120.762	15.657
CDP20407	381	202	0	0
CDP20406	534	355	0	0
CDP22186	1320	1141	319.596	19.7557
CDP20409	630	451	0	0
CDP20408	399	220	0	0
CDP22188	522	343	1	0.205628
CDP20410	1536	1357	109.786	5.70615
CDP20411	669	490	0	0
CDP22189	1337	1158	1019	62.0644
CDP22190	447	268	61.231	16.1144
CDP20412	1203	1024	0	0
CDP20413	2457	2278	277.795	8.60098
CDP20416	398	219	35	11.272
CDP20414	645	466	0.77612	0.117468
CDP20417	939	760	0	0
CDP20415	1546	1367	467.224	24.1064
CDP22191	1476	1297	3.29162	0.178997
CDP20418	6469	6290	552.377	6.19386
CDP20419	1232	1053	130.545	8.744
CDP20420	1409	1230	74.3682	4.26441
CDP22192	252	73.0112	95.2281	91.9925
CDP20421	4035	3856	275	5.03005
CDP22193	261	82.002	3	2.58032
CDP22194	1467	1288	65.1286	3.56642
CDP22196	800	621	10	1.13576
CDP22195	330	151	0	0
CDP22197	885	706	194.677	19.4485
CDP20425	462	283	13.0407	3.25005
CDP20424	2407	2228	73.0358	2.31205
CDP20422	1797	1618	22.8525	0.996168
CDP20423	1506	1327	41.1095	2.18498
CDP20426	1776	1597	229	10.1136
CDP20427	165	12.1958	0	0
CDP22198	552	373	0	0
CDP22199	222	43.8484	0	0
CDP22200	1021	842	216	18.0933
CDP22201	498	319	8	1.76879
CDP20429	1302	1123	361	22.6727
CDP20428	654	475	2	0.29697
CDP20430	527	348	20	4.05347
CDP20431	1121	942	53	3.96827
CDP20435	2394	2215	536	17.0674
CDP20434	432	253	939	261.771
CDP20433	1874	1695	315	13.1074
CDP20432	438	259	129	35.1291
CDP22202	525	346	0	0
CDP22203	1068	889	181.107	14.3685
CDP20436	324	145	0	0
CDP20437	231	52.2911	0	0
CDP20438	414	235	0	0
CDP20439	75	4.11003	0	0
CDP20440	1614	1435	185.411	9.113
CDP20442	456	277	0	0
CDP20443	2172	1993	152	5.37914
CDP20444	3060	2881	111.209	2.72254
CDP20441	2827	2648	2759.06	73.4886
CDP22204	1248	1069	80.9606	5.34161
CDP22205	831	652	0	0
CDP20445	459	280	0	0
CDP20446	694	515	160.961	22.044
CDP22206	333	154	0	0
CDP22208	288	109	0	0
CDP22207	204	29.2345	0	0
CDP20447	1563	1384	216	11.0076
CDP20448	2021	1842	142	5.4372
CDP20449	405	226	0	0
CDP20450	924	745	16	1.51475
CDP20452	366	187	2	0.754336
CDP20451	1866	1687	1110.44	46.4255
CDP22209	693	514	5.81463	0.797877
CDP22210	1017	838	682.188	57.4165
CDP20453	1278	1099	2	0.128354
CDP22211	504	325	0	0
CDP20456	495	316	0	0
CDP20455	1275	1096	21	1.3514
CDP20460	759	580	0	0
CDP20457	1010	831	0	0
CDP20459	720	541	0	0
CDP20458	821	642	6	0.659163
CDP22212	1674	1495	64.3036	3.03369
CDP22213	303	124	0	0
CDP20461	928	749	376	35.4065
CDP22214	270	91.0003	0	0
CDP20462	1129	950	0	0
CDP20465	1054	875	690.352	55.6467
CDP20464	384	205	2.19346	0.754661
CDP20463	3483	3304	42.6075	0.909542
CDP20466	223	44.7603	0	0
CDP22215	1533	1354	6	0.312543
CDP22216	834	655	145.575	15.6755
CDP22217	624	445	0	0
CDP22218	1014	835	0	0
CDP20467	1368	1189	55.2656	3.27831
CDP22219	948	769	1	0.0917171
CDP22220	750	571	42.2853	5.22312
CDP22221	651	472	226.605	33.8613
